"Lunch Participation of Eligible Students"
2/15/2026

Year,Division,School,Level,Percent
"2022 - 2023","Accomack County Public Schools","Accawmacke Elementary",SCH,94
"2022 - 2023","Accomack County Public Schools","Arcadia High",SCH,93.9
"2022 - 2023","Accomack County Public Schools","Arcadia Middle ",SCH,93.9
"2022 - 2023","Accomack County Public Schools","Chincoteague Elementary",SCH,93.9
"2022 - 2023","Accomack County Public Schools","Chincoteague High",SCH,94
"2022 - 2023","Accomack County Public Schools","Kegotank Elementary",SCH,94
"2022 - 2023","Accomack County Public Schools","Metompkin Elementary",SCH,93.9
"2022 - 2023","Accomack County Public Schools","Nandua High",SCH,93.9
"2022 - 2023","Accomack County Public Schools","Nandua Middle",SCH,93.9
"2022 - 2023","Accomack County Public Schools","Pungoteague Elementary",SCH,93.9
"2022 - 2023","Accomack County Public Schools","Tangier Combined",SCH,94.3
"2022 - 2023","Albemarle County Public Schools","Agnor Elementary",SCH,69.4
"2022 - 2023","Albemarle County Public Schools","Albemarle High",SCH,33.8
"2022 - 2023","Albemarle County Public Schools","Baker-Butler Elementary",SCH,28.5
"2022 - 2023","Albemarle County Public Schools","Broadus Wood Elementary",SCH,20.1
"2022 - 2023","Albemarle County Public Schools","Brownsville Elementary",SCH,16.8
"2022 - 2023","Albemarle County Public Schools","Community Lab School",SCH,7.3
"2022 - 2023","Albemarle County Public Schools","Crozet Elementary",SCH,17.2
"2022 - 2023","Albemarle County Public Schools","Hollymead Elementary",SCH,18.7
"2022 - 2023","Albemarle County Public Schools","Ivy Elementary",SCH,7.6
"2022 - 2023","Albemarle County Public Schools","Jackson P. Burley Middle",SCH,45.1
"2022 - 2023","Albemarle County Public Schools","Joseph T. Henley Middle",SCH,13.4
"2022 - 2023","Albemarle County Public Schools","Journey Middle",SCH,52.5
"2022 - 2023","Albemarle County Public Schools","Lakeside Middle",SCH,23
"2022 - 2023","Albemarle County Public Schools","Leslie H. Walton Middle",SCH,38.2
"2022 - 2023","Albemarle County Public Schools","Mary Carr Greer Elementary",SCH,71.9
"2022 - 2023","Albemarle County Public Schools","Monticello High",SCH,56.5
"2022 - 2023","Albemarle County Public Schools","Mountain View Elementary",SCH,46.4
"2022 - 2023","Albemarle County Public Schools","Red Hill Elementary",SCH,68.8
"2022 - 2023","Albemarle County Public Schools","Scottsville Elementary",SCH,68.6
"2022 - 2023","Albemarle County Public Schools","Stone Robinson Elementary",SCH,31.8
"2022 - 2023","Albemarle County Public Schools","Stony Point Elementary",SCH,27.7
"2022 - 2023","Albemarle County Public Schools","Virginia L. Murray Elementary",SCH,8.9
"2022 - 2023","Albemarle County Public Schools","Western Albemarle High",SCH,12.9
"2022 - 2023","Albemarle County Public Schools","Woodbrook Elementary",SCH,81.3
"2022 - 2023","Alexandria City Public Schools","Alexandria City High",SCH,56.3
"2022 - 2023","Alexandria City Public Schools","Charles Barrett Elementary",SCH,44
"2022 - 2023","Alexandria City Public Schools","Cora Kelly School for Math Science and Technology",SCH,88.8
"2022 - 2023","Alexandria City Public Schools","Douglas MacArthur Elementary",SCH,42.3
"2022 - 2023","Alexandria City Public Schools","Ferdinand T. Day Elementary",SCH,89.8
"2022 - 2023","Alexandria City Public Schools","Francis C. Hammond Middle",SCH,78
"2022 - 2023","Alexandria City Public Schools","George Mason Elementary",SCH,37.7
"2022 - 2023","Alexandria City Public Schools","George Washington Middle",SCH,47.5
"2022 - 2023","Alexandria City Public Schools","James K. Polk Elementary",SCH,76.6
"2022 - 2023","Alexandria City Public Schools","Jefferson-Houston PK-8 School",SCH,84.4
"2022 - 2023","Alexandria City Public Schools","John Adams Elementary",SCH,78.7
"2022 - 2023","Alexandria City Public Schools","Lyles-Crouch Elementary",SCH,20
"2022 - 2023","Alexandria City Public Schools","Mount Vernon Elementary",SCH,46.4
"2022 - 2023","Alexandria City Public Schools","Naomi L. Brooks Elementary",SCH,33.2
"2022 - 2023","Alexandria City Public Schools","Patrick Henry K-8 School",SCH,87.4
"2022 - 2023","Alexandria City Public Schools","Samuel W. Tucker Elementary",SCH,63.5
"2022 - 2023","Alexandria City Public Schools","William Ramsay Elementary",SCH,90.9
"2022 - 2023","Alleghany Highlands Public Schools","Alleghany High",SCH,81.8
"2022 - 2023","Alleghany Highlands Public Schools","Callaghan Elementary",SCH,81.9
"2022 - 2023","Alleghany Highlands Public Schools","Covington Middle",SCH,81.7
"2022 - 2023","Alleghany Highlands Public Schools","Jeter-Watson Elementary",SCH,87.6
"2022 - 2023","Alleghany Highlands Public Schools","Mountain View Elementary",SCH,81.9
"2022 - 2023","Alleghany Highlands Public Schools","Sharon Elementary",SCH,81.6
"2022 - 2023","Amelia County Public Schools","Amelia County Elementary",SCH,82.4
"2022 - 2023","Amelia County Public Schools","Amelia County High",SCH,82.3
"2022 - 2023","Amelia County Public Schools","Amelia County Middle",SCH,82.3
"2022 - 2023","Amherst County Public Schools","Amelon Elementary",SCH,77.9
"2022 - 2023","Amherst County Public Schools","Amherst County High",SCH,77.9
"2022 - 2023","Amherst County Public Schools","Amherst Elementary",SCH,78.1
"2022 - 2023","Amherst County Public Schools","Amherst Middle",SCH,77.9
"2022 - 2023","Amherst County Public Schools","Central Elementary",SCH,78.1
"2022 - 2023","Amherst County Public Schools","Elon Elementary",SCH,77.8
"2022 - 2023","Amherst County Public Schools","Madison Heights Elementary",SCH,78
"2022 - 2023","Amherst County Public Schools","Monelison Middle",SCH,77.9
"2022 - 2023","Amherst County Public Schools","Temperance Elementary",SCH,78.3
"2022 - 2023","Appomattox County Public Schools","Appomattox County High",SCH,74.6
"2022 - 2023","Appomattox County Public Schools","Appomattox Elementary",SCH,74.6
"2022 - 2023","Appomattox County Public Schools","Appomattox Middle",SCH,74.6
"2022 - 2023","Appomattox County Public Schools","Appomattox Primary",SCH,74.6
"2022 - 2023","Arlington County Public Schools","Abingdon Elementary",SCH,40.7
"2022 - 2023","Arlington County Public Schools","Alice West Fleet Elementary",SCH,32.1
"2022 - 2023","Arlington County Public Schools","Arlington Community High",SCH,34.6
"2022 - 2023","Arlington County Public Schools","Arlington Science Focus School",SCH,14.8
"2022 - 2023","Arlington County Public Schools","Arlington Traditional",SCH,34.8
"2022 - 2023","Arlington County Public Schools","Ashlawn Elementary",SCH,17.2
"2022 - 2023","Arlington County Public Schools","Barcroft Elementary",SCH,74.8
"2022 - 2023","Arlington County Public Schools","Barrett Elementary",SCH,74.9
"2022 - 2023","Arlington County Public Schools","Campbell Elementary",SCH,45.7
"2022 - 2023","Arlington County Public Schools","Cardinal Elementary",SCH,6.4
"2022 - 2023","Arlington County Public Schools","Carlin Springs Elementary",SCH,74.8
"2022 - 2023","Arlington County Public Schools","Claremont Immersion",SCH,27.6
"2022 - 2023","Arlington County Public Schools","Discovery Elementary",SCH,2.9
"2022 - 2023","Arlington County Public Schools","Dorothy Hamm Middle",SCH,19.1
"2022 - 2023","Arlington County Public Schools","Dr. Charles R. Drew Elementary",SCH,74.8
"2022 - 2023","Arlington County Public Schools","Escuela Key Elementary",SCH,32.6
"2022 - 2023","Arlington County Public Schools","Glebe Elementary",SCH,13
"2022 - 2023","Arlington County Public Schools","Gunston Middle",SCH,36.8
"2022 - 2023","Arlington County Public Schools","Hoffman-Boston Elementary",SCH,46.4
"2022 - 2023","Arlington County Public Schools","Innovation Elementary ",SCH,36
"2022 - 2023","Arlington County Public Schools","Jamestown Elementary",SCH,4.6
"2022 - 2023","Arlington County Public Schools","Jefferson Middle",SCH,42.1
"2022 - 2023","Arlington County Public Schools","Kenmore Middle",SCH,51.3
"2022 - 2023","Arlington County Public Schools","Long Branch Elementary",SCH,31.7
"2022 - 2023","Arlington County Public Schools","Montessori Public School of Arlington",SCH,27.6
"2022 - 2023","Arlington County Public Schools","Nottingham Elementary",SCH,4.6
"2022 - 2023","Arlington County Public Schools","Oakridge Elementary",SCH,31.6
"2022 - 2023","Arlington County Public Schools","Randolph Elementary",SCH,74.9
"2022 - 2023","Arlington County Public Schools","Swanson Middle",SCH,17.6
"2022 - 2023","Arlington County Public Schools","Taylor Elementary",SCH,8
"2022 - 2023","Arlington County Public Schools","Tuckahoe Elementary",SCH,2.7
"2022 - 2023","Arlington County Public Schools","Wakefield High",SCH,39.6
"2022 - 2023","Arlington County Public Schools","Washington-Liberty High",SCH,24.3
"2022 - 2023","Arlington County Public Schools","Williamsburg Middle",SCH,2.4
"2022 - 2023","Arlington County Public Schools","Yorktown High",SCH,14.4
"2022 - 2023","Augusta County Public Schools","Buffalo Gap High",SCH,38.9
"2022 - 2023","Augusta County Public Schools","Cassell Elementary",SCH,73.6
"2022 - 2023","Augusta County Public Schools","Churchville Elementary",SCH,40.9
"2022 - 2023","Augusta County Public Schools","Craigsville Elementary",SCH,99.3
"2022 - 2023","Augusta County Public Schools","Edward G. Clymore Elementary",SCH,49.2
"2022 - 2023","Augusta County Public Schools","Fort Defiance High",SCH,41.2
"2022 - 2023","Augusta County Public Schools","Guy K. Stump Elementary",SCH,42.5
"2022 - 2023","Augusta County Public Schools","North River Elementary",SCH,54.6
"2022 - 2023","Augusta County Public Schools","Riverheads Elementary",SCH,70.1
"2022 - 2023","Augusta County Public Schools","Riverheads High",SCH,39.1
"2022 - 2023","Augusta County Public Schools","S. Gordon Stewart Middle",SCH,47.3
"2022 - 2023","Augusta County Public Schools","Stuarts Draft Elementary",SCH,51
"2022 - 2023","Augusta County Public Schools","Stuarts Draft High",SCH,38.7
"2022 - 2023","Augusta County Public Schools","Stuarts Draft Middle",SCH,47
"2022 - 2023","Augusta County Public Schools","Wilson Elementary",SCH,66.6
"2022 - 2023","Augusta County Public Schools","Wilson Memorial High",SCH,39.6
"2022 - 2023","Augusta County Public Schools","Wilson Middle",SCH,47.9
"2022 - 2023","Bath County Public Schools","Bath County High",SCH,76.8
"2022 - 2023","Bath County Public Schools","Millboro Elementary",SCH,99.3
"2022 - 2023","Bath County Public Schools","Valley Elementary",SCH,100
"2022 - 2023","Bedford County Public Schools","Bedford Elementary",SCH,86.4
"2022 - 2023","Bedford County Public Schools","Bedford Primary",SCH,97.3
"2022 - 2023","Bedford County Public Schools","Big Island Elementary",SCH,69.1
"2022 - 2023","Bedford County Public Schools","Boonsboro Elementary",SCH,28.2
"2022 - 2023","Bedford County Public Schools","Forest Elementary",SCH,16.5
"2022 - 2023","Bedford County Public Schools","Forest Middle",SCH,22.4
"2022 - 2023","Bedford County Public Schools","Goodview Elementary",SCH,69.1
"2022 - 2023","Bedford County Public Schools","Huddleston Elementary",SCH,86.2
"2022 - 2023","Bedford County Public Schools","Jefferson Forest High",SCH,23.2
"2022 - 2023","Bedford County Public Schools","Liberty High",SCH,69.2
"2022 - 2023","Bedford County Public Schools","Liberty Middle",SCH,86.2
"2022 - 2023","Bedford County Public Schools","Moneta Elementary",SCH,69.1
"2022 - 2023","Bedford County Public Schools","Montvale Elementary",SCH,86.3
"2022 - 2023","Bedford County Public Schools","New London Academy Elementary",SCH,27.4
"2022 - 2023","Bedford County Public Schools","Otter River Elementary",SCH,38.9
"2022 - 2023","Bedford County Public Schools","Staunton River High",SCH,69.1
"2022 - 2023","Bedford County Public Schools","Staunton River Middle",SCH,86.2
"2022 - 2023","Bedford County Public Schools","Stewartsville Elementary",SCH,86.2
"2022 - 2023","Bedford County Public Schools","Thomas Jefferson Elementary",SCH,27.3
"2022 - 2023","Bland County Public Schools","Bland County Elementary ",SCH,67.7
"2022 - 2023","Bland County Public Schools","Bland County High",SCH,67.4
"2022 - 2023","Botetourt County Public Schools","Breckinridge Elementary",SCH,33.2
"2022 - 2023","Botetourt County Public Schools","Buchanan Elementary",SCH,45.9
"2022 - 2023","Botetourt County Public Schools","Central Academy Middle",SCH,42.2
"2022 - 2023","Botetourt County Public Schools","Cloverdale Elementary",SCH,32.8
"2022 - 2023","Botetourt County Public Schools","Colonial Elementary",SCH,40
"2022 - 2023","Botetourt County Public Schools","Eagle Rock Elementary",SCH,71.7
"2022 - 2023","Botetourt County Public Schools","Greenfield Elementary",SCH,36.3
"2022 - 2023","Botetourt County Public Schools","James River High",SCH,31.4
"2022 - 2023","Botetourt County Public Schools","Lord Botetourt High",SCH,27.1
"2022 - 2023","Botetourt County Public Schools","Read Mountain Middle",SCH,34.7
"2022 - 2023","Botetourt County Public Schools","Troutville Elementary",SCH,32.1
"2022 - 2023","Bristol City Public Schools","Virginia High",SCH,100
"2022 - 2023","Bristol City Public Schools","Virginia Middle",SCH,100
"2022 - 2023","Brunswick County Public Schools","Brunswick High",SCH,100
"2022 - 2023","Brunswick County Public Schools","James S. Russell Middle",SCH,100
"2022 - 2023","Brunswick County Public Schools","Meherrin Powellton Elementary",SCH,100
"2022 - 2023","Brunswick County Public Schools","Red Oak-Sturgeon Elementary",SCH,100
"2022 - 2023","Brunswick County Public Schools","Totaro Elementary",SCH,100
"2022 - 2023","Buchanan County Public Schools","Council Elementary/Middle",SCH,97.6
"2022 - 2023","Buchanan County Public Schools","Council High ",SCH,97.5
"2022 - 2023","Buchanan County Public Schools","Grundy High",SCH,97.7
"2022 - 2023","Buchanan County Public Schools","Hurley Elementary/Middle",SCH,97.7
"2022 - 2023","Buchanan County Public Schools","Hurley High",SCH,97.7
"2022 - 2023","Buchanan County Public Schools","Riverview Elementary/Middle",SCH,97.6
"2022 - 2023","Buchanan County Public Schools","Twin Valley Elementary/Middle",SCH,97.8
"2022 - 2023","Buchanan County Public Schools","Twin Valley High",SCH,97.4
"2022 - 2023","Buckingham County Public Schools","Buckingham Co Elementary",SCH,93.4
"2022 - 2023","Buckingham County Public Schools","Buckingham Co Primary",SCH,93.5
"2022 - 2023","Buckingham County Public Schools","Buckingham County High",SCH,93.5
"2022 - 2023","Buckingham County Public Schools","Buckingham County Middle",SCH,93.5
"2022 - 2023","Buena Vista City Public Schools","Enderly Heights Elementary",SCH,85.9
"2022 - 2023","Buena Vista City Public Schools","F.W. Kling Jr. Elementary",SCH,85.6
"2022 - 2023","Buena Vista City Public Schools","Parry McCluer High",SCH,85.8
"2022 - 2023","Buena Vista City Public Schools","Parry McCluer Middle",SCH,85.2
"2022 - 2023","Campbell County Public Schools","Altavista Elementary",SCH,74.7
"2022 - 2023","Campbell County Public Schools","Altavista High",SCH,74.8
"2022 - 2023","Campbell County Public Schools","Brookneal Elementary",SCH,74.7
"2022 - 2023","Campbell County Public Schools","Brookville High",SCH,74.8
"2022 - 2023","Campbell County Public Schools","Brookville Middle",SCH,74.7
"2022 - 2023","Campbell County Public Schools","Concord Elementary",SCH,74.8
"2022 - 2023","Campbell County Public Schools","Leesville Road Elementary",SCH,74.8
"2022 - 2023","Campbell County Public Schools","Rustburg Elementary",SCH,74.7
"2022 - 2023","Campbell County Public Schools","Rustburg High",SCH,74.8
"2022 - 2023","Campbell County Public Schools","Rustburg Middle",SCH,74.8
"2022 - 2023","Campbell County Public Schools","Tomahawk Elementary",SCH,74.7
"2022 - 2023","Campbell County Public Schools","William Campbell High",SCH,74.8
"2022 - 2023","Campbell County Public Schools","Yellow Branch Elementary",SCH,74.7
"2022 - 2023","Caroline County Public Schools","Bowling Green Elementary",SCH,74.6
"2022 - 2023","Caroline County Public Schools","Caroline High",SCH,74.6
"2022 - 2023","Caroline County Public Schools","Caroline Middle",SCH,74.6
"2022 - 2023","Caroline County Public Schools","Lewis and Clark Elementary",SCH,74.7
"2022 - 2023","Caroline County Public Schools","Madison Elementary",SCH,74.7
"2022 - 2023","Carroll County Public Schools","Carroll County High",SCH,85
"2022 - 2023","Carroll County Public Schools","Carroll County Middle",SCH,85
"2022 - 2023","Carroll County Public Schools","Fancy Gap Elementary",SCH,85
"2022 - 2023","Carroll County Public Schools","Gladesboro Elementary",SCH,84.9
"2022 - 2023","Carroll County Public Schools","Gladeville Elementary",SCH,85
"2022 - 2023","Carroll County Public Schools","Hillsville Elementary",SCH,85.1
"2022 - 2023","Carroll County Public Schools","Laurel Elementary",SCH,85.2
"2022 - 2023","Carroll County Public Schools","Oakland Elementary",SCH,85
"2022 - 2023","Carroll County Public Schools","St. Paul",SCH,85.1
"2022 - 2023","Charles City County Public Schools","Charles City County Elementary",SCH,87.3
"2022 - 2023","Charles City County Public Schools","Charles City County High",SCH,87.3
"2022 - 2023","Charlotte County Public Schools","Bacon District Elementary",SCH,84.6
"2022 - 2023","Charlotte County Public Schools","Central Middle",SCH,84.4
"2022 - 2023","Charlotte County Public Schools","Eureka Elementary",SCH,84.6
"2022 - 2023","Charlotte County Public Schools","Phenix Elementary",SCH,84.5
"2022 - 2023","Charlotte County Public Schools","Randolph-Henry High",SCH,84.5
"2022 - 2023","Charlottesville City Public Schools","Charlottesville High",SCH,71.6
"2022 - 2023","Charlottesville City Public Schools","Charlottesville Middle",SCH,76.7
"2022 - 2023","Charlottesville City Public Schools","Greenbrier Elementary",SCH,43.5
"2022 - 2023","Charlottesville City Public Schools","Jackson-Via Elementary",SCH,76.8
"2022 - 2023","Charlottesville City Public Schools","Summit Elementary",SCH,71.7
"2022 - 2023","Charlottesville City Public Schools","Sunrise Elementary",SCH,58.8
"2022 - 2023","Charlottesville City Public Schools","Tall Oaks Elementary",SCH,76.8
"2022 - 2023","Charlottesville City Public Schools","Trailblazer Elementary",SCH,40.5
"2022 - 2023","Charlottesville City Public Schools","Walker Upper Elementary",SCH,71.5
"2022 - 2023","Chesapeake City Public Schools","Butts Road Intermediate",SCH,11.1
"2022 - 2023","Chesapeake City Public Schools","Butts Road Primary",SCH,13.3
"2022 - 2023","Chesapeake City Public Schools","Camelot Elementary",SCH,91.1
"2022 - 2023","Chesapeake City Public Schools","Cedar Road Elementary",SCH,16.2
"2022 - 2023","Chesapeake City Public Schools","Crestwood Middle",SCH,71.2
"2022 - 2023","Chesapeake City Public Schools","Deep Creek Central Elementary",SCH,24.8
"2022 - 2023","Chesapeake City Public Schools","Deep Creek Elementary",SCH,43.8
"2022 - 2023","Chesapeake City Public Schools","Deep Creek High",SCH,49
"2022 - 2023","Chesapeake City Public Schools","Deep Creek Middle",SCH,43
"2022 - 2023","Chesapeake City Public Schools","Edwin W. Chittum Elementary",SCH,19
"2022 - 2023","Chesapeake City Public Schools","G.A. Treakle Elementary",SCH,90.9
"2022 - 2023","Chesapeake City Public Schools","George W. Carver Intermediate",SCH,90.9
"2022 - 2023","Chesapeake City Public Schools","Georgetown Primary",SCH,91
"2022 - 2023","Chesapeake City Public Schools","Grassfield Elementary",SCH,17.7
"2022 - 2023","Chesapeake City Public Schools","Grassfield High",SCH,14.8
"2022 - 2023","Chesapeake City Public Schools","Great Bridge High",SCH,24.8
"2022 - 2023","Chesapeake City Public Schools","Great Bridge Intermediate",SCH,19.4
"2022 - 2023","Chesapeake City Public Schools","Great Bridge Middle",SCH,16.5
"2022 - 2023","Chesapeake City Public Schools","Great Bridge Primary",SCH,18.5
"2022 - 2023","Chesapeake City Public Schools","Greenbrier Intermediate",SCH,38.1
"2022 - 2023","Chesapeake City Public Schools","Greenbrier Middle",SCH,42
"2022 - 2023","Chesapeake City Public Schools","Greenbrier Primary",SCH,38.3
"2022 - 2023","Chesapeake City Public Schools","Hickory Elementary",SCH,18.7
"2022 - 2023","Chesapeake City Public Schools","Hickory High",SCH,11.3
"2022 - 2023","Chesapeake City Public Schools","Hickory Middle",SCH,15
"2022 - 2023","Chesapeake City Public Schools","Hugo A. Owens Middle",SCH,29.5
"2022 - 2023","Chesapeake City Public Schools","Indian River High",SCH,71.2
"2022 - 2023","Chesapeake City Public Schools","Indian River Middle",SCH,71.1
"2022 - 2023","Chesapeake City Public Schools","Jolliff Middle",SCH,42.9
"2022 - 2023","Chesapeake City Public Schools","Norfolk Highlands Primary",SCH,91.1
"2022 - 2023","Chesapeake City Public Schools","Oscar F. Smith High",SCH,71.2
"2022 - 2023","Chesapeake City Public Schools","Oscar Smith Middle",SCH,91
"2022 - 2023","Chesapeake City Public Schools","Portlock Primary",SCH,91
"2022 - 2023","Chesapeake City Public Schools","Rena B. Wright Primary",SCH,90.9
"2022 - 2023","Chesapeake City Public Schools","Southeastern Elementary",SCH,17.1
"2022 - 2023","Chesapeake City Public Schools","Southwestern Elementary",SCH,91
"2022 - 2023","Chesapeake City Public Schools","Sparrow Road Intermediate",SCH,91
"2022 - 2023","Chesapeake City Public Schools","Thurgood Marshall Elementary",SCH,91.1
"2022 - 2023","Chesapeake City Public Schools","Truitt Intermediate",SCH,91.1
"2022 - 2023","Chesapeake City Public Schools","Western Branch High",SCH,37.1
"2022 - 2023","Chesapeake City Public Schools","Western Branch Intermediate",SCH,44.9
"2022 - 2023","Chesapeake City Public Schools","Western Branch Middle",SCH,37.2
"2022 - 2023","Chesapeake City Public Schools","Western Branch Primary",SCH,40.3
"2022 - 2023","Chesterfield County Public Schools","A.M. Davis Elementary",SCH,80.2
"2022 - 2023","Chesterfield County Public Schools","Alberta Smith Elementary",SCH,33.4
"2022 - 2023","Chesterfield County Public Schools","Bailey Bridge Middle",SCH,33
"2022 - 2023","Chesterfield County Public Schools","Bellwood Elementary",SCH,80.1
"2022 - 2023","Chesterfield County Public Schools","Bensley Elementary",SCH,80.2
"2022 - 2023","Chesterfield County Public Schools","Bettie Weaver Elementary",SCH,3.7
"2022 - 2023","Chesterfield County Public Schools","Beulah Elementary",SCH,80.2
"2022 - 2023","Chesterfield County Public Schools","Bon Air Elementary",SCH,39.6
"2022 - 2023","Chesterfield County Public Schools","C.C. Wells Elementary",SCH,48.5
"2022 - 2023","Chesterfield County Public Schools","C.E. Curtis Elementary",SCH,80.2
"2022 - 2023","Chesterfield County Public Schools","Carver College and Career Academy",SCH,80.3
"2022 - 2023","Chesterfield County Public Schools","Carver Middle",SCH,80.2
"2022 - 2023","Chesterfield County Public Schools","Clover Hill Elementary",SCH,31.8
"2022 - 2023","Chesterfield County Public Schools","Clover Hill High",SCH,31.7
"2022 - 2023","Chesterfield County Public Schools","Cosby High",SCH,14.9
"2022 - 2023","Chesterfield County Public Schools","Crestwood Elementary",SCH,80.1
"2022 - 2023","Chesterfield County Public Schools","Ecoff Elementary",SCH,80.2
"2022 - 2023","Chesterfield County Public Schools","Elizabeth Davis Middle",SCH,44.5
"2022 - 2023","Chesterfield County Public Schools","Elizabeth Scott Elementary",SCH,80.2
"2022 - 2023","Chesterfield County Public Schools","Enon Elementary",SCH,80.2
"2022 - 2023","Chesterfield County Public Schools","Ettrick Elementary",SCH,80.2
"2022 - 2023","Chesterfield County Public Schools","Evergreen Elementary",SCH,29.6
"2022 - 2023","Chesterfield County Public Schools","Falling Creek Elementary",SCH,80.1
"2022 - 2023","Chesterfield County Public Schools","Falling Creek Middle",SCH,80.2
"2022 - 2023","Chesterfield County Public Schools","Grange Hall Elementary",SCH,13.4
"2022 - 2023","Chesterfield County Public Schools","Greenfield Elementary",SCH,32.4
"2022 - 2023","Chesterfield County Public Schools","Harrowgate Elementary",SCH,80.2
"2022 - 2023","Chesterfield County Public Schools","Hopkins Road Elementary",SCH,80.2
"2022 - 2023","Chesterfield County Public Schools","J.A. Chalkley Elementary",SCH,80.2
"2022 - 2023","Chesterfield County Public Schools","J.B. Watkins Elementary",SCH,15.3
"2022 - 2023","Chesterfield County Public Schools","J.G. Hening Elementary",SCH,80.2
"2022 - 2023","Chesterfield County Public Schools","Jacobs Road Elementary",SCH,80.2
"2022 - 2023","Chesterfield County Public Schools","James River High",SCH,33.2
"2022 - 2023","Chesterfield County Public Schools","Lloyd C. Bird High",SCH,80.2
"2022 - 2023","Chesterfield County Public Schools","Manchester High",SCH,38
"2022 - 2023","Chesterfield County Public Schools","Manchester Middle",SCH,80.2
"2022 - 2023","Chesterfield County Public Schools","Marguerite F. Christian Elementary",SCH,80.1
"2022 - 2023","Chesterfield County Public Schools","Matoaca Elementary",SCH,80.3
"2022 - 2023","Chesterfield County Public Schools","Matoaca High",SCH,40.3
"2022 - 2023","Chesterfield County Public Schools","Matoaca Middle",SCH,45.7
"2022 - 2023","Chesterfield County Public Schools","Meadowbrook High",SCH,80.2
"2022 - 2023","Chesterfield County Public Schools","Midlothian High",SCH,14.8
"2022 - 2023","Chesterfield County Public Schools","Midlothian Middle",SCH,14.3
"2022 - 2023","Chesterfield County Public Schools","Monacan High",SCH,35.7
"2022 - 2023","Chesterfield County Public Schools","Moseley Elementary",SCH,6.7
"2022 - 2023","Chesterfield County Public Schools","O.B. Gates Elementary",SCH,36.6
"2022 - 2023","Chesterfield County Public Schools","Old Hundred Elementary",SCH,11.9
"2022 - 2023","Chesterfield County Public Schools","Providence Elementary",SCH,80.2
"2022 - 2023","Chesterfield County Public Schools","Providence Middle",SCH,80.2
"2022 - 2023","Chesterfield County Public Schools","Reams Road Elementary",SCH,80.2
"2022 - 2023","Chesterfield County Public Schools","Robious Elementary",SCH,20.5
"2022 - 2023","Chesterfield County Public Schools","Robious Middle",SCH,25.8
"2022 - 2023","Chesterfield County Public Schools","Salem Church Elementary",SCH,80.2
"2022 - 2023","Chesterfield County Public Schools","Salem Church Middle",SCH,80.2
"2022 - 2023","Chesterfield County Public Schools","Spring Run Elementary",SCH,22.4
"2022 - 2023","Chesterfield County Public Schools","Swift Creek Elementary",SCH,25.9
"2022 - 2023","Chesterfield County Public Schools","Swift Creek Middle",SCH,27.7
"2022 - 2023","Chesterfield County Public Schools","Thelma Crenshaw Elementary",SCH,80.2
"2022 - 2023","Chesterfield County Public Schools","Thomas Dale High",SCH,41.9
"2022 - 2023","Chesterfield County Public Schools","Tomahawk Creek Middle",SCH,15.2
"2022 - 2023","Chesterfield County Public Schools","W.W. Gordon Elementary",SCH,15.1
"2022 - 2023","Chesterfield County Public Schools","Winterpock Elementary",SCH,14.2
"2022 - 2023","Chesterfield County Public Schools","Woolridge Elementary",SCH,8.4
"2022 - 2023","Clarke County Public Schools","Boyce Elementary",SCH,37.4
"2022 - 2023","Clarke County Public Schools","Clarke County High",SCH,26.8
"2022 - 2023","Clarke County Public Schools","D.G. Cooley Elementary",SCH,30.8
"2022 - 2023","Clarke County Public Schools","Johnson-Williams Middle",SCH,29.1
"2022 - 2023","Colonial Beach Public Schools","Colonial Beach Elementary",SCH,85.5
"2022 - 2023","Colonial Beach Public Schools","Colonial Beach High",SCH,85.4
"2022 - 2023","Colonial Heights City Public Schools","Colonial Heights High",SCH,84.5
"2022 - 2023","Colonial Heights City Public Schools","Colonial Heights Middle",SCH,84.6
"2022 - 2023","Colonial Heights City Public Schools","Lakeview Elementary",SCH,84.5
"2022 - 2023","Colonial Heights City Public Schools","North Elementary",SCH,84.4
"2022 - 2023","Colonial Heights City Public Schools","Tussing Elementary",SCH,84.5
"2022 - 2023","Craig County Public Schools","Craig County High",SCH,75.9
"2022 - 2023","Craig County Public Schools","McCleary Elementary",SCH,75.7
"2022 - 2023","Culpeper County Public Schools","A.G. Richardson Elementary",SCH,41.4
"2022 - 2023","Culpeper County Public Schools","Culpeper County High",SCH,44.9
"2022 - 2023","Culpeper County Public Schools","Culpeper Middle",SCH,49.9
"2022 - 2023","Culpeper County Public Schools","Eastern View High",SCH,45.2
"2022 - 2023","Culpeper County Public Schools","Emerald Hill Elementary",SCH,36.8
"2022 - 2023","Culpeper County Public Schools","Farmington Elementary",SCH,79.9
"2022 - 2023","Culpeper County Public Schools","Floyd T. Binns Middle",SCH,52.8
"2022 - 2023","Culpeper County Public Schools","Pearl Sample Elementary",SCH,69.7
"2022 - 2023","Culpeper County Public Schools","Sycamore Park Elementary",SCH,76.9
"2022 - 2023","Culpeper County Public Schools","Yowell Elementary",SCH,47.1
"2022 - 2023","Cumberland County Public Schools","Cumberland Elementary",SCH,97.8
"2022 - 2023","Cumberland County Public Schools","Cumberland High",SCH,98
"2022 - 2023","Cumberland County Public Schools","Cumberland Middle",SCH,97.8
"2022 - 2023","Danville City Public Schools","Edwin A. Gibson Elementary",SCH,100
