"division_id","year","subject","subgroup","acr_rate","pass_rate","acr_suppressed","pass_suppressed","weight_basis","source"
"5100180",2022,"Science","All Students",,57,TRUE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100180",2023,"English (ELA)","All Students",74.6151533373422,61.8526758869513,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100180",2023,"Math","All Students",77.9476849067949,61.0288634996993,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100180",2023,"Science","All Students",,60.7011425135298,TRUE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100180",2024,"English (ELA)","All Students",78.5143212951432,61.0921544209215,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100180",2024,"Math","All Students",78.6114570361146,58.4601494396015,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100180",2024,"Science","All Students",,57.019302615193,TRUE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100210",2022,"English (ELA)","All Students",79,64.1111111111111,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100210",2022,"Math","All Students",82.2222222222222,58.3333333333333,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100210",2022,"Science","All Students",,51.1111111111111,TRUE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100210",2023,"English (ELA)","All Students",84.5667417981468,73.2531930879038,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100210",2023,"Math","All Students",78.2178812922615,61.778863010268,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100210",2023,"Science","All Students",,58.4007012271475,TRUE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100210",2024,"English (ELA)","All Students",83.4226700251889,73.1886649874055,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100210",2024,"Math","All Students",78.048362720403,62.6503778337531,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100210",2024,"Science","All Students",,59.1445843828715,TRUE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100240",2022,"English (ELA)","All Students",86.75,73.75,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100240",2022,"Math","All Students",85.25,63.5,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100240",2022,"Science","All Students",,70.5,TRUE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100240",2023,"English (ELA)","All Students",84.9296908089792,76.9008894536213,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100240",2023,"Math","All Students",82.6683608640407,68.3045319779754,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100240",2023,"Science","All Students",,64.5137653536637,TRUE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100240",2024,"English (ELA)","All Students",86.1686340640809,77.8010118043845,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100240",2024,"Math","All Students",85.1863406408094,74.0573355817875,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100240",2024,"Science","All Students",,68.9949409780776,TRUE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100270",2022,"English (ELA)","All Students",93.0285714285714,80.7428571428571,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100270",2022,"Math","All Students",90.8823529411765,76.2941176470588,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100270",2022,"Science","All Students",,71.2647058823529,TRUE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100270",2023,"English (ELA)","All Students",90.2654276172499,81.3912080731814,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
